year,n,k,occ,words,rate,lo,hi,per_100k_words
1876,301,16,17,678944,0.053156146179401995,0.03298080108630864,0.08459370318082551,2.503888391384267
1877,291,13,13,571821,0.044673539518900345,0.02629029841199849,0.07492201355483387,2.2734387159618135
1878,279,18,23,651427,0.06451612903225806,0.04119534661707669,0.09966653508632195,3.530710271450216
1879,239,18,22,593845,0.07531380753138076,0.048167318824576054,0.11589682833966598,3.704670410629036
1880,251,18,18,635868,0.07171314741035857,0.045839865914961496,0.11049881662352519,2.8307761988337203
1881,238,20,22,509038,0.08403361344537816,0.05505544701477723,0.12622684685029809,4.321877738007771
1882,274,23,24,625974,0.08394160583941605,0.05658394132369152,0.12280460236451068,3.8340250553537367
1883,291,22,22,778367,0.07560137457044673,0.05045293501389395,0.11180910670613471,2.826430205802661
1884,309,21,25,811962,0.06796116504854369,0.0448768198088618,0.10165612210167696,3.0789618233365603
1885,295,14,15,718914,0.04745762711864407,0.028476730310615404,0.07807336177830394,2.086480441332343
1886,312,21,27,826240,0.0673076923076923,0.04444116525852003,0.10069994344913596,3.2678156467854373
1887,310,27,29,849567,0.08709677419354839,0.06054708947219223,0.12375480039836668,3.4135035847672994
1888,311,19,22,870258,0.06109324758842444,0.03945643309107251,0.09344087145826277,2.5279859535907745
1889,262,18,19,638971,0.06870229007633588,0.043895610881012424,0.1059740859610168,2.97353088011819
1890,300,19,21,1003479,0.06333333333333334,0.04091655604878176,0.09679203948257406,2.0927194291061397
1891,365,20,20,983271,0.0547945205479452,0.03574747162361154,0.08311547659047275,2.0340272417268483
1892,593,36,41,1578196,0.06070826306913996,0.04417023079415038,0.08290134062446386,2.597902922070516
1893,893,49,50,2109241,0.054871220604703244,0.04175200237331737,0.07180383624969029,2.3705209599092756
1894,915,54,57,2284167,0.05901639344262295,0.04551149217017535,0.07620872598276854,2.495439256411637
1895,1052,78,90,2777277,0.0741444866920152,0.059814131301385104,0.09157372839272053,3.240584212521833
1896,968,57,70,2556910,0.058884297520661155,0.04572501820432664,0.0755309560202795,2.7376794646663356
1897,949,65,74,2492501,0.0684931506849315,0.054100343412738276,0.0863653961183653,2.968905529024863
1898,933,65,80,2522529,0.06966773847802786,0.0550344913690565,0.08783021489505473,3.171420427673973
1899,985,64,73,2650325,0.0649746192893401,0.051208982351116754,0.08212035978012046,2.7543791799118975
1900,1038,71,75,2754213,0.06840077071290944,0.05458129952955413,0.08540312804561657,2.723100936637798
1901,1037,60,67,2628906,0.05785920925747348,0.04521322508622301,0.0737689524132159,2.548588652466083
1902,1021,84,102,2542249,0.08227228207639568,0.06694210476758784,0.10073414881150183,4.0121955009127745
1903,1073,72,78,2519242,0.06710158434296365,0.05362245694491582,0.08366941588020536,3.0961694033364004
1904,1071,69,75,2532913,0.06442577030812324,0.051222706067064964,0.08074241325842448,2.9610176109483426
1905,1146,76,82,2583479,0.06631762652705062,0.05331069993776308,0.0822224030565972,3.1740145749200983
1906,1160,75,86,2735115,0.06465517241379311,0.05189074803606537,0.0802935629560834,3.1442919219118757
1907,1048,58,67,2330452,0.05534351145038168,0.043054217144311326,0.07088080881396985,2.8749787594852845
1908,1264,88,104,2793887,0.06962025316455696,0.05685429094534657,0.08499434377369089,3.7224125385171267
1909,1268,66,71,2806786,0.052050473186119876,0.041120755455618635,0.06568625573193805,2.5295836590320744
1910,1229,83,92,2805572,0.06753458096013018,0.0548093106252924,0.08295502179178371,3.279188700200886
1911,1221,69,80,2498827,0.056511056511056514,0.04489585550185968,0.07090817989341103,3.201502144806343
1912,1366,70,95,2745123,0.05124450951683748,0.04075863865034784,0.06424737080359195,3.4606828182198024
1913,1395,60,70,2865032,0.043010752688172046,0.0335599809675565,0.05497155827176837,2.4432536879169238
1914,1364,81,86,2792398,0.0593841642228739,0.04803560164073065,0.07320767682075202,3.0797902018265306
1915,1639,89,97,3225264,0.05430140329469189,0.044335946468763855,0.06635129203310998,3.0075057421656024
